Name,Year,University,Advisor,Program,Rocket1,Rocket2,Rocket3,Rocket4,Rocket5
"Johnstone, Alan",1970,Alaska,"Davis, John M.",Auroral Physics,,,,,
"Jones, Robert A.",1969,Colorado,"Rense, W. A.",Solar Research,,,,,
"Jones, Sarah",2010,New Hampshire,"Lessard, Marc",Auroral Research,40.02,,,,
"Joseph, Charles",1985,Colorado,"Sharp, William E.",Galactic,,,,,
"Juda, Mike",1988,Wisconsin,"McCammon, Dan",Astrophysi,,,,,
"Kaeppler, Stephen",2013,Iowa,"Kletzing, Craig",CUSP Electrodynamics,40.018,40.022,40.025,21.139,36.242
"Kamalabadi, Farzad",2005,Boston,"Chakrabarti, Supriya",UV imaging ISM,,,,,
"Kamash, Salma",1974,Michigan,Carignan,ED,,,,,
"Kanal, Madhoo",1971,Michigan,Carignan,Physics,,,,,
"Kankelborg, Charles",1996,Stanford University,"Walker, Arthur B. C.",Solar sounding rocket work conducted with Black Brants at WSMR,36.049,36.091,,,
"Kao, Wen-Wei",1984,Pittsburgh,"Zipf, Edward C.",Phys. & Astro,,,,,
"Kasper, Joseph E.",1958,Iowa,"Van Allen, James A.",Rockoon,,,,,
"Kastrozak, W. T.",1968,Minnesota,Cahill & Nier,,4.18,4.181,,,
"Kayat, Michael",1978,Leicester,"Pounds, Kenneth",X-ray Astr,,,,,
"Kelley, Michael",1970,"California, Berkeley","Carlson, Charles W.",,8.056,,,,
"Kimble, Randy",1983,"California, Berkeley","Bowyer, C. S.",EUV Spectroscopy of Astr. Objs.,,,,,
"Kintner, Paul",1974,Minnesota,"Cahill, Laurence J. Jr.",,,,,,
"Kita, D.",1981,Michigan,"Sharp, William E.",Therom Electron Corp.,,,,,
"Klatt, Eric Michael",2005,Cornell,"Kintner, Paul",SIERRA and SERSIO,35.035,,,,
"Klementis, Eric",1995,"California, Berkeley","Carlson, Charles W.",Plasma Physics,35.023UE,40.002UE,40.004UE,,
"Klumpar, David",1973,New Hampshire,"Lockwood, J.",Cosmic Rays,,,,,
"Knappmiller, Scott",2010,Colorado,"Robertson, Scott",Mesospheric Aerosol Sampling Spectrometer,41.069,41.07,,,
"Knudsen, David",1990,Cornell,"Kelley, Michael",,,,,,
"Korendyke, Clarence M.",1992,Maryland,Brueckner,Solar Research,,,,,
"Korpela, Eric",1997,"California, Berkeley","Bowyer, C. S.",Diffuse Far UV Background,36.06,,,,
"Kowalski, Michael P.",1997,Northwestern,"Ulmer, Melville P.",X-ray Astr,,,,,
"Kraft, Ralph",1993,Penn State,"Garmire, Gordon",,,,,,
"Kumar, Shailendra",1973,"California, Berkeley","Bowyer, C. S.",Study of Helium Geocorona,,,,,
"Kumar, Jack",1969,Pittsburgh,"Zipf, Edward C.",HE Resonance RAD'N,,,,,
